PYTHONPATH=.:packages/harness:packages/dr_core PYTHONIOENCODING=utf-8 PYTHONUTF8=1 uv run pytest tests/ packages/dr_core/tests -v
============================= test session starts ==============================
platform darwin -- Python 3.12.13, pytest-9.0.3, pluggy-1.6.0 -- /Users/ryanfree/Documents/Projects/deerflow-dr/deer-flow/backend/.venv/bin/python
cachedir: .pytest_cache
rootdir: /Users/ryanfree/Documents/Projects/deerflow-dr/deer-flow/backend
configfile: pyproject.toml
plugins: asyncio-1.3.0, langsmith-0.8.18, anyio-4.13.0
tests/test_aio_sandbox_local_backend.py::test_start_container_keeps_broad_bind_for_dood_sandbox_host PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_start_container_binds_ipv6_sandbox_host_to_ipv6_loopback PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_start_container_keeps_apple_container_port_format PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_is_container_running_false_when_container_missing PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_is_container_running_raises_on_runtime_error PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_is_container_running_raises_on_timeout PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_discover_returns_none_when_runtime_check_fails PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_discover_returns_none_when_runtime_check_times_out PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_is_container_running_false_on_apple_container_not_found PASSED [  1%]
tests/test_aio_sandbox_local_backend.py::test_is_container_running_raises_on_unrelated_not_found_error PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_ensure_thread_dirs_creates_acp_workspace PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_ensure_thread_dirs_acp_workspace_is_world_writable PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_host_thread_dir_rejects_invalid_thread_id PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_get_thread_mounts_includes_acp_workspace PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_get_thread_mounts_includes_user_data_dirs PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_get_thread_mounts_uses_explicit_user_id PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_join_host_path_preserves_windows_drive_letter_style PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_get_thread_mounts_preserves_windows_host_path_style PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_discover_or_create_only_unlocks_when_lock_succeeds PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_acquire_async_uses_async_readiness_polling[asyncio] PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_discover_or_create_with_lock_async_offloads_lock_file_open_and_close[asyncio] PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_acquire_thread_lock_async_uses_dedicated_executor[asyncio] PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_acquire_async_cancellation_does_not_leak_thread_lock[asyncio] PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_acquire_async_cancelled_waiter_does_not_block_successor[asyncio] PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_acquire_internal_async_offloads_cached_reuse_health_check[asyncio] PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_remote_backend_create_forwards_effective_user_id PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_remote_backend_create_prefers_explicit_user_id PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_release_closes_cached_sandbox_client PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_destroy_closes_cached_sandbox_client PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_shutdown_closes_all_active_sandbox_clients PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_release_swallows_close_errors PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_get_uses_in_memory_registry_only PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_acquire_drops_dead_cached_sandbox PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_acquire_keeps_cached_sandbox_when_health_check_errors PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_drop_unhealthy_sandbox_skips_recreated_entry PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_acquire_skips_dead_warm_pool_sandbox PASSED [  1%]
tests/test_aio_sandbox_provider.py::test_destroy_swallows_close_errors_and_still_destroys_backend PASSED [  1%]
tests/test_aio_sandbox_readiness.py::test_wait_for_sandbox_ready_async_uses_nonblocking_polling[asyncio] PASSED [  2%]
tests/test_aio_sandbox_readiness.py::test_wait_for_sandbox_ready_async_retries_request_errors[asyncio] PASSED [  2%]
tests/test_aio_sandbox_readiness.py::test_wait_for_sandbox_ready_async_clamps_request_and_sleep_to_deadline[asyncio] PASSED [  2%]
tests/test_app_config_name_indexes.py::test_get_config_returns_matching_entry PASSED [  2%]
tests/test_app_config_name_indexes.py::test_get_config_returns_none_for_missing PASSED [  2%]
tests/test_app_config_name_indexes.py::test_get_config_first_match_wins_on_duplicate_names PASSED [  2%]
tests/test_app_config_name_indexes.py::test_index_matches_linear_scan_reference PASSED [  2%]
tests/test_app_config_name_indexes.py::test_empty_config_lookups_return_none PASSED [  2%]
tests/test_app_config_reload.py::test_app_config_defaults_missing_database_to_sqlite PASSED [  2%]
tests/test_app_config_reload.py::test_app_config_defaults_empty_database_to_sqlite PASSED [  2%]
tests/test_app_config_reload.py::test_app_config_coerces_commented_out_list_sections PASSED [  2%]
tests/test_app_config_reload.py::test_app_config_coerces_commented_out_object_sections PASSED [  2%]
tests/test_app_config_reload.py::test_app_config_null_required_section_still_errors PASSED [  2%]
tests/test_app_config_reload.py::test_app_config_warns_when_no_models_configured PASSED [  2%]
tests/test_app_config_reload.py::test_get_app_config_reloads_when_file_changes PASSED [  2%]
tests/test_app_config_reload.py::test_get_app_config_reloads_when_content_digest_changes_without_metadata PASSED [  2%]
tests/test_app_config_reload.py::test_get_app_config_reloads_when_config_path_changes PASSED [  2%]
tests/test_app_config_reload.py::test_get_app_config_resets_agents_api_config_when_section_removed PASSED [  2%]
tests/test_app_config_reload.py::test_get_app_config_resets_singleton_configs_when_sections_removed PASSED [  2%]
tests/test_app_config_reload.py::test_get_app_config_resets_persistence_runtime_singletons_when_checkpointer_removed PASSED [  2%]
tests/test_app_config_reload.py::test_get_app_config_keeps_persistence_runtime_singletons_when_checkpointer_unchanged PASSED [  2%]
tests/test_app_config_reload.py::test_get_app_config_does_not_mutate_singletons_when_reload_validation_fails PASSED [  2%]
tests/test_artifacts_router.py::test_get_artifact_reads_utf8_text_file_on_windows_locale PASSED [  2%]
tests/test_artifacts_router.py::test_get_artifact_forces_download_for_active_content[poc.html-<html><body><script>alert('xss')</script></body></html>] PASSED [  2%]
tests/test_artifacts_router.py::test_get_artifact_forces_download_for_active_content[page.xhtml-<?xml version="1.0"?><html xmlns="http://www.w3.org/1999/xhtml"><body>hello</body></html>] PASSED [  2%]
tests/test_artifacts_router.py::test_get_artifact_forces_download_for_active_content[image.svg-<svg xmlns="http://www.w3.org/2000/svg"><script>alert("xss")</script></svg>] PASSED [  2%]
tests/test_artifacts_router.py::test_get_artifact_forces_download_for_active_content_in_skill_archive[poc.html-<html><body><script>alert('xss')</script></body></html>] PASSED [  2%]
tests/test_artifacts_router.py::test_get_artifact_forces_download_for_active_content_in_skill_archive[page.xhtml-<?xml version="1.0"?><html xmlns="http://www.w3.org/1999/xhtml"><body>hello</body></html>] PASSED [  2%]
tests/test_artifacts_router.py::test_get_artifact_forces_download_for_active_content_in_skill_archive[image.svg-<svg xmlns="http://www.w3.org/2000/svg"><script>alert("xss")</script></svg>] PASSED [  2%]
tests/test_artifacts_router.py::test_get_artifact_download_false_does_not_force_attachment PASSED [  2%]
tests/test_artifacts_router.py::test_get_artifact_download_true_forces_attachment_for_skill_archive PASSED [  2%]
tests/test_artifacts_router.py::test_skill_archive_preview_rejects_oversized_member_before_decompression PASSED [  2%]
tests/test_assistant_payload_replay.py::test_restore_additional_kwargs_field_copies_present_values_only PASSED [  2%]
tests/test_assistant_payload_replay.py::test_restore_reasoning_content_copies_reasoning_content PASSED [  2%]
tests/test_assistant_payload_replay.py::test_restore_assistant_payloads_matches_by_position_when_lengths_match PASSED [  2%]
tests/test_assistant_payload_replay.py::test_restore_assistant_payloads_fallback_matches_unique_content_signature PASSED [  2%]
tests/test_assistant_payload_replay.py::test_restore_assistant_payloads_fallback_matches_unique_tool_call_signature PASSED [  2%]
tests/test_assistant_payload_replay.py::test_restore_assistant_payloads_fallback_matches_structured_content_signature PASSED [  2%]
tests/test_assistant_payload_replay.py::test_restore_assistant_payloads_fallback_uses_order_when_signature_is_ambiguous PASSED [  2%]
tests/test_assistant_payload_replay.py::test_restore_assistant_payloads_fallback_uses_next_unused_when_ordinal_taken PASSED [  2%]
tests/test_assistant_payload_replay.py::test_restore_assistant_payloads_does_not_wrap_to_earlier_unused_message PASSED [  2%]
tests/test_auth.py::test_hash_password_and_verify PASSED                 [  2%]
tests/test_auth.py::test_hash_password_different_each_time PASSED        [  2%]
tests/test_auth.py::test_verify_password_rejects_empty PASSED            [  2%]
tests/test_auth.py::test_hash_produces_v2_prefix PASSED                  [  2%]
tests/test_auth.py::test_verify_v1_prefixed_hash PASSED                  [  2%]
tests/test_auth.py::test_verify_bare_bcrypt_hash PASSED                  [  2%]
tests/test_auth.py::test_needs_rehash_returns_false_for_v2 PASSED        [  2%]
tests/test_auth.py::test_needs_rehash_returns_true_for_v1 PASSED         [  2%]
tests/test_auth.py::test_needs_rehash_returns_true_for_bare_bcrypt PASSED [  2%]
tests/test_auth.py::test_create_and_decode_token PASSED                  [  2%]
tests/test_auth.py::test_decode_token_expired PASSED                     [  2%]
tests/test_auth.py::test_decode_token_invalid PASSED                     [  2%]
tests/test_auth.py::test_create_token_custom_expiry PASSED               [  2%]
tests/test_auth.py::test_auth_context_unauthenticated PASSED             [  2%]
tests/test_auth.py::test_auth_context_authenticated_no_perms PASSED      [  2%]
tests/test_auth.py::test_auth_context_has_permission PASSED              [  2%]
tests/test_auth.py::test_auth_context_require_user_raises PASSED         [  2%]
tests/test_auth.py::test_auth_context_require_user_returns_user PASSED   [  2%]
tests/test_auth.py::test_get_auth_context_not_set PASSED                 [  2%]
tests/test_auth.py::test_get_auth_context_set PASSED                     [  2%]
tests/test_auth.py::test_require_auth_sets_auth_context PASSED           [  2%]
tests/test_auth.py::test_require_auth_requires_request_param PASSED      [  2%]
tests/test_auth.py::test_require_permission_requires_auth PASSED         [  3%]
tests/test_auth.py::test_require_permission_denies_wrong_permission PASSED [  3%]
tests/test_auth.py::test_require_permission_internal_role_scoped_by_owner_header PASSED [  3%]
tests/test_auth.py::test_require_permission_internal_role_denied_for_other_owner PASSED [  3%]
tests/test_auth.py::test_require_permission_internal_role_without_header_is_scoped_to_internal_user PASSED [  3%]
tests/test_auth.py::test_user_model_has_needs_setup_default_false PASSED [  3%]
tests/test_auth.py::test_user_model_has_token_version_default_zero PASSED [  3%]
tests/test_auth.py::test_user_model_needs_setup_true PASSED              [  3%]
tests/test_auth.py::test_sqlite_round_trip_new_fields PASSED             [  3%]
tests/test_auth.py::test_update_user_raises_when_row_concurrently_deleted PASSED [  3%]
tests/test_auth.py::test_jwt_encodes_ver PASSED                          [  3%]
tests/test_auth.py::test_jwt_default_ver_zero PASSED                     [  3%]
tests/test_auth.py::test_token_version_mismatch_rejects PASSED           [  3%]
tests/test_auth.py::test_change_password_request_accepts_new_email PASSED [  3%]
tests/test_auth.py::test_change_password_request_new_email_optional PASSED [  3%]
tests/test_auth.py::test_login_response_includes_needs_setup PASSED      [  3%]
tests/test_auth.py::test_rate_limiter_allows_under_limit PASSED          [  3%]
tests/test_auth.py::test_rate_limiter_blocks_after_max_failures PASSED   [  3%]
tests/test_auth.py::test_rate_limiter_resets_on_success PASSED           [  3%]
tests/test_auth.py::test_get_client_ip_direct_connection_no_proxy PASSED [  3%]
tests/test_auth.py::test_get_client_ip_x_real_ip_ignored_when_no_trusted_proxy PASSED [  3%]
tests/test_auth.py::test_get_client_ip_x_real_ip_honored_from_trusted_proxy PASSED [  3%]
tests/test_auth.py::test_get_client_ip_x_real_ip_rejected_from_untrusted_peer PASSED [  3%]
tests/test_auth.py::test_get_client_ip_xff_never_honored PASSED          [  3%]
tests/test_auth.py::test_get_client_ip_invalid_trusted_proxy_entry_skipped PASSED [  3%]
tests/test_auth.py::test_get_client_ip_no_client_returns_unknown PASSED  [  3%]
tests/test_auth.py::test_register_rejects_literal_password PASSED        [  3%]
tests/test_auth.py::test_register_rejects_common_password_case_insensitive PASSED [  3%]
tests/test_auth.py::test_register_accepts_strong_password PASSED         [  3%]
tests/test_auth.py::test_change_password_rejects_common_password PASSED  [  3%]
tests/test_auth.py::test_password_blocklist_keeps_short_passwords_for_length_check PASSED [  3%]
tests/test_auth.py::test_missing_jwt_secret_generates_ephemeral PASSED   [  3%]
tests/test_auth.py::test_authenticate_auto_rehashes_legacy_hash PASSED   [  3%]
tests/test_auth.py::test_authenticate_skips_rehash_for_v2_hash PASSED    [  3%]
tests/test_auth.py::test_validate_next_param_rejects_colon_paths PASSED  [  3%]
tests/test_auth_config.py::test_auth_config_defaults PASSED              [  3%]
tests/test_auth_config.py::test_auth_config_token_expiry_range PASSED    [  3%]
tests/test_auth_config.py::test_auth_config_from_env PASSED              [  3%]
tests/test_auth_config.py::test_auth_config_missing_secret_generates_and_persists PASSED [  3%]
tests/test_auth_config.py::test_auth_config_reuses_persisted_secret PASSED [  3%]
tests/test_auth_config.py::test_auth_config_empty_secret_file_generates_new PASSED [  3%]
tests/test_auth_errors.py::test_auth_error_code_values PASSED            [  3%]
tests/test_auth_errors.py::test_token_error_values PASSED                [  3%]
tests/test_auth_errors.py::test_auth_error_response_serialization PASSED [  3%]
tests/test_auth_errors.py::test_auth_error_response_from_dict PASSED     [  3%]
tests/test_auth_errors.py::test_decode_token_returns_token_error_on_expired PASSED [  3%]
tests/test_auth_errors.py::test_decode_token_returns_token_error_on_bad_signature PASSED [  3%]
tests/test_auth_errors.py::test_decode_token_returns_token_error_on_malformed PASSED [  3%]
tests/test_auth_errors.py::test_decode_token_returns_payload_on_valid PASSED [  3%]
tests/test_auth_middleware.py::test_public_paths[/health] PASSED         [  3%]
tests/test_auth_middleware.py::test_public_paths[/health/] PASSED        [  3%]
tests/test_auth_middleware.py::test_public_paths[/docs] PASSED           [  3%]
tests/test_auth_middleware.py::test_public_paths[/docs/] PASSED          [  3%]
tests/test_auth_middleware.py::test_public_paths[/redoc] PASSED          [  3%]
tests/test_auth_middleware.py::test_public_paths[/openapi.json] PASSED   [  3%]
tests/test_auth_middleware.py::test_public_paths[/api/v1/auth/login/local] PASSED [  3%]
tests/test_auth_middleware.py::test_public_paths[/api/v1/auth/register] PASSED [  3%]
tests/test_auth_middleware.py::test_public_paths[/api/v1/auth/logout] PASSED [  3%]
tests/test_auth_middleware.py::test_public_paths[/api/v1/auth/setup-status] PASSED [  3%]
tests/test_auth_middleware.py::test_protected_paths[/api/models] PASSED  [  3%]
tests/test_auth_middleware.py::test_protected_paths[/api/mcp/config] PASSED [  3%]
tests/test_auth_middleware.py::test_protected_paths[/api/mcp/cache/reset] PASSED [  3%]
tests/test_auth_middleware.py::test_protected_paths[/api/memory] PASSED  [  3%]
tests/test_auth_middleware.py::test_protected_paths[/api/skills] PASSED  [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/threads/123] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/threads/123/uploads] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/agents] PASSED  [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/channels] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/channels/providers] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/channels/slack/connect] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/runs/stream] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/threads/123/runs] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/v1/auth/me] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths[/api/v1/auth/change-password] PASSED [  4%]
tests/test_auth_middleware.py::test_public_auth_paths_with_trailing_slash[/api/v1/auth/login/local/] PASSED [  4%]
tests/test_auth_middleware.py::test_public_auth_paths_with_trailing_slash[/api/v1/auth/register/] PASSED [  4%]
tests/test_auth_middleware.py::test_public_auth_paths_with_trailing_slash[/api/v1/auth/logout/] PASSED [  4%]
tests/test_auth_middleware.py::test_public_auth_paths_with_trailing_slash[/api/v1/auth/setup-status/] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths_with_trailing_slash[/api/models/] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths_with_trailing_slash[/api/v1/auth/me/] PASSED [  4%]
tests/test_auth_middleware.py::test_protected_paths_with_trailing_slash[/api/v1/auth/change-password/] PASSED [  4%]
tests/test_auth_middleware.py::test_unknown_api_path_is_protected PASSED [  4%]
tests/test_auth_middleware.py::test_public_path_no_cookie PASSED         [  4%]
tests/test_auth_middleware.py::test_public_auth_path_no_cookie PASSED    [  4%]
tests/test_auth_middleware.py::test_protected_auth_path_no_cookie PASSED [  4%]
tests/test_auth_middleware.py::test_protected_path_no_cookie_returns_401 PASSED [  4%]
tests/test_auth_middleware.py::test_auth_disabled_allows_protected_path_without_cookie PASSED [  4%]
tests/test_auth_middleware.py::test_auth_disabled_stamps_default_admin_user_without_cookie PASSED [  4%]
tests/test_auth_middleware.py::test_auth_disabled_auth_me_reuses_middleware_user_without_cookie PASSED [  4%]
tests/test_auth_middleware.py::test_auth_disabled_does_not_clobber_valid_session_cookie PASSED [  4%]
tests/test_auth_middleware.py::test_auth_disabled_does_not_clobber_internal_auth_identity PASSED [  4%]
tests/test_auth_middleware.py::test_auth_disabled_skips_csrf_for_state_changing_requests PASSED [  4%]
tests/test_auth_middleware.py::test_auth_disabled_is_ignored_in_explicit_production_env PASSED [  4%]
tests/test_auth_middleware.py::test_auth_disabled_startup_warning_when_effective PASSED [  4%]
tests/test_auth_middleware.py::test_auth_disabled_startup_warning_suppressed_in_explicit_production_env PASSED [  4%]
